# WebDab output on Thu Jun 14 15:40:21 2018
# Format: ISO2;YEAR;SECTOR;POLLUTANT;UNIT;NUMBER/FLAG
NOS;2003;N14 G_Shipping;NMVOC;Gg;6.32192236101155
MED;2003;N14 G_Shipping;NMVOC;Gg;12.1992744501477
BLS;2003;N14 G_Shipping;NOx;Gg;101.39433557609
BAS;2003;N14 G_Shipping;NOx;Gg;371.177351636616
MED;2003;N14 G_Shipping;NOx;Gg;1382.01734274733
ATL;2003;N14 G_Shipping;NOx;Gg;824.261808692639
NOS;2003;N14 G_Shipping;NOx;Gg;757.420969488875
BLS;2003;N14 G_Shipping;PM10;Gg;6.21147430100239
BAS;2003;N14 G_Shipping;PM10;Gg;16.5527144912355
MED;2003;N14 G_Shipping;PM10;Gg;92.5652134252821
ATL;2003;N14 G_Shipping;PM10;Gg;56.8304529011158
NOS;2003;N14 G_Shipping;PM10;Gg;40.3880701261734
ATL;2003;N14 G_Shipping;PM2.5;Gg;54.0971900124893
BAS;2003;N14 G_Shipping;PM2.5;Gg;15.5575605559945
MED;2003;N14 G_Shipping;PM2.5;Gg;86.6804919399641
NOS;2003;N14 G_Shipping;PM2.5;Gg;37.7989778306223
BLS;2003;N14 G_Shipping;PM2.5;Gg;5.89905082826434
BLS;2003;N14 G_Shipping;PMcoarse;Gg;0.31242347273805
MED;2003;N14 G_Shipping;PMcoarse;Gg;5.884721485318
NOS;2003;N14 G_Shipping;PMcoarse;Gg;2.5890922955511
BAS;2003;N14 G_Shipping;PMcoarse;Gg;0.995153935241005
ATL;2003;N14 G_Shipping;PMcoarse;Gg;2.73326288862651
NOS;2003;N14 G_Shipping;SOx;Gg;391.98170214268
MED;2003;N14 G_Shipping;SOx;Gg;644.251294790011
BLS;2003;N14 G_Shipping;SOx;Gg;40.5326806552541
ATL;2003;N14 G_Shipping;SOx;Gg;409.327352061017
BAS;2003;N14 G_Shipping;SOx;Gg;178.517434258212
BLS;2004;N14 G_Shipping;CO;Gg;8.75913570733101
MED;2004;N14 G_Shipping;CO;Gg;115.669290386122
ATL;2004;N14 G_Shipping;CO;Gg;69.4576303658241
NOS;2004;N14 G_Shipping;CO;Gg;59.5542204423062
BAS;2004;N14 G_Shipping;CO;Gg;24.3277398901616
ATL;2004;N14 G_Shipping;NMVOC;Gg;7.57088170987483
BAS;2004;N14 G_Shipping;NMVOC;Gg;2.65172364802761
MED;2004;N14 G_Shipping;NMVOC;Gg;12.6079526520873
BLS;2004;N14 G_Shipping;NMVOC;Gg;0.95474579209908
NOS;2004;N14 G_Shipping;NMVOC;Gg;6.49141002821137
NOS;2004;N14 G_Shipping;NOx;Gg;772.970296754914
MED;2004;N14 G_Shipping;NOx;Gg;1419.51075576931
BLS;2004;N14 G_Shipping;NOx;Gg;103.346093757899
BAS;2004;N14 G_Shipping;NOx;Gg;377.785514023389
ATL;2004;N14 G_Shipping;NOx;Gg;841.60464491574
BLS;2004;N14 G_Shipping;PM10;Gg;6.36021489963362
ATL;2004;N14 G_Shipping;PM10;Gg;58.1521247484944
